is_2_3_31uM,,is_2_3_15uM,,is_2_3_62uM,,is_2_3_125uM,,is_2_3_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.953186,-0.0007487529656,799.953186,-0.0005544340238,799.953186,-0.001628225902,799.953186,-0.0008421853418,799.953186,-0.0009168444085,
799.5368652,-0.0003107275115,799.5368652,0.0002548962657,799.5368652,0.0001729009091,799.5368652,0.0001730821823,799.5368652,-0.0003385082819,
798.9816284,6.572944403E-5,798.9816284,0.000191391242,798.9816284,-3.044083132E-5,798.9816284,-0.0004741273588,798.9816284,-0.0002668023517,
798.5651855,0.000600581232,798.5651855,0.0004225868615,798.5651855,7.176183135E-5,798.5651855,-0.0004687489127,798.5651855,-0.000156944152,
798.0097656,-0.0001707620395,798.0097656,2.940745617E-5,798.0097656,-0.0001081381124,798.0097656,-7.309581997E-5,798.0097656,-0.0006969120586,
797.4541626,-0.0001403828064,797.4541626,-0.0006267645513,797.4541626,-0.0001227339235,797.4541626,-0.0005803895765,797.4541626,-0.000465283927,
797.0374146,-0.0002611626405,797.0374146,-0.000541197136,797.0374146,-0.0009226822876,797.0374146,-0.0004514236934,797.0374146,-0.0003700634115,
796.4816895,0.0001677734836,796.4816895,4.359415834E-5,796.4816895,-0.0001013058645,796.4816895,-0.001484556822,796.4816895,-0.0005233059637,
796.0647583,2.1356449E-5,796.0647583,-0.0007283377927,796.0647583,-0.0003897712741,796.0647583,-0.0006754089263,796.0647583,-0.0007270973292,
795.5087891,-0.0003772535129,795.5087891,-0.0007827071822,795.5087891,-0.0007778494037,795.5087891,-0.00104944245,795.5087891,-0.0007524224347,
794.9526978,-0.0007970219594,794.9526978,-0.0005338029005,794.9526978,-0.0006273331819,794.9526978,-0.001392552746,794.9526978,-0.0006685855915,
794.5355225,-0.0003364389995,794.5355225,-0.001158507192,794.5355225,-0.0009559514001,794.5355225,-0.0008511760971,794.5355225,-0.001200173865,
793.979248,-0.0004911413998,793.979248,-0.0009921621531,793.979248,-0.0009359592223,793.979248,-0.00165695406,793.979248,-0.001328659593,
793.5618896,-0.0004848840472,793.5618896,-0.0004764028417,793.5618896,-0.001288811909,793.5618896,-0.001391262631,793.5618896,-0.000257695996,
793.0053711,-0.0009627185063,793.0053711,-0.001022068667,793.0053711,-0.001057189424,793.0053711,-0.002082031686,793.0053711,-0.001424083021,
792.4487305,-0.0006060334272,792.4487305,-0.001843408449,792.4487305,-0.0009457746055,792.4487305,-0.001447716262,792.4487305,-0.001818610937,
792.0311279,-0.0004951750161,792.0311279,-0.001219224534,792.0311279,-0.0009268152062,792.0311279,-0.001366078039,792.0311279,-0.001446426264,
791.4743042,-0.001646690536,791.4743042,-0.001531557646,791.4743042,-0.001473618555,791.4743042,-0.001602590783,791.4743042,-0.00120151625,
791.0565796,-0.001484556822,791.0565796,-0.001131243655,791.0565796,-0.001487239846,791.0565796,-0.001725955633,791.0565796,-0.001821240177,
790.4994507,-0.0008752539288,790.4994507,-0.002118869917,790.4994507,-0.001883463003,790.4994507,-0.00138269586,790.4994507,-0.001516286749,
789.9422607,-0.00112737075,789.9422607,-0.001669847523,789.9422607,-0.001217417652,789.9422607,-0.002270157682,789.9422607,-0.001592325978,
789.524292,-0.001079293434,789.524292,-0.001857430558,789.524292,-0.001923359232,789.524292,-0.001874029636,789.524292,-0.001901246607,
788.9668579,-0.001013701316,788.9668579,-0.001960210968,788.9668579,-0.001200122293,788.9668579,-0.002208814491,788.9668579,-0.001729152747,
788.5487061,-0.001618271228,788.5487061,-0.001995153027,788.5487061,-0.001587889856,788.5487061,-0.002248680918,788.5487061,-0.001815620693,
787.9910889,-0.00158396957,787.9910889,-0.001844542567,787.9910889,-0.001949026948,787.9910889,-0.00225975411,787.9910889,-0.002297710394,
787.4333496,-0.001572827343,787.4333496,-0.002336229896,787.4333496,-0.002258054679,787.4333496,-0.001832066686,787.4333496,-0.001987061929,
787.0149536,-0.001400448498,787.0149536,-0.002049363917,787.0149536,-0.00172105676,787.0149536,-0.002345138229,787.0149536,-0.002287462121,
786.4569702,-0.001695427112,786.4569702,-0.002128916327,786.4569702,-0.002170695923,786.4569702,-0.001753027202,786.4569702,-0.002443993697,
786.0384521,-0.001640656032,786.0384521,-0.001841707155,786.0384521,-0.002300439868,786.0384521,-0.002561715897,786.0384521,-0.002057556994,
785.4802856,-0.002022980712,785.4802856,-0.002642923733,785.4802856,-0.002402549144,785.4802856,-0.0023606373,785.4802856,-0.00164767052,
785.0615845,-0.00196876633,785.0615845,-0.002800459042,785.0615845,-0.002270312281,785.0615845,-0.002530525438,785.0615845,-0.002732708585,
784.5031738,-0.001832066686,784.5031738,-0.002007881878,784.5031738,-0.00248852279,784.5031738,-0.0029407111,784.5031738,-0.002374024829,
783.9447021,-0.001697644591,783.9447021,-0.002916438971,783.9447021,-0.002339371014,783.9447021,-0.002650951268,783.9447021,-0.002828749828,
783.5256958,-0.001876607072,783.5256958,-0.002745107049,783.5256958,-0.00212391885,783.5256958,-0.002502781572,783.5256958,-0.002631242853,
782.96698,-0.002004789887,782.96698,-0.002053589327,782.96698,-0.002307958668,782.96698,-0.00245310599,782.96698,-0.002243890893,
782.5478516,-0.002399820369,782.5478516,-0.002443067031,782.5478516,-0.002225194126,782.5478516,-0.002434829948,782.5478516,-0.003309100401,
781.9889526,-0.00178190181,781.9889526,-0.00261678244,781.9889526,-0.002251616679,781.9889526,-0.002236010507,781.9889526,-0.00232222327,
781.5697021,-0.002476837719,781.5697021,-0.002677244833,781.5697021,-0.002146071754,781.5697021,-0.002117633587,781.5697021,-0.002776745008,
781.0105591,-0.001952789375,781.0105591,-0.002720978344,781.0105591,-0.002434727037,781.0105591,-0.00241603842,781.0105591,-0.00296626729,
780.4512939,-0.002206548117,780.4512939,-0.002564906841,780.4512939,-0.002592955483,780.4512939,-0.002881262684,780.4512939,-0.002234980464,
780.0317383,-0.002380460966,780.0317383,-0.002146071754,780.0317383,-0.002711357316,780.0317383,-0.003302164143,780.0317383,-0.003080712166,
779.47229,-0.002265316434,779.47229,-0.002510348335,779.47229,-0.002648789901,779.47229,-0.002765787765,779.47229,-0.00292147859,
779.0526123,-0.00274984003,779.0526123,-0.003204634413,779.0526123,-0.002396164928,779.0526123,-0.003081072122,779.0526123,-0.002758019837,
778.4929199,-0.002187128644,778.4929199,-0.002462320728,778.4929199,-0.00262563373,778.4929199,-0.003146609757,778.4929199,-0.002806580393,
777.9331055,-0.002836259315,777.9331055,-0.002750303131,777.9331055,-0.003191940486,777.9331055,-0.002561561298,777.9331055,-0.002599594183,
777.5131836,-0.002753749955,777.5131836,-0.002971100854,777.5131836,-0.003031308297,777.5131836,-0.002892525401,777.5131836,-0.003254583804,
776.953186,-0.002456194721,776.953186,-0.002643181244,776.953186,-0.002988017397,776.953186,-0.003039996838,776.953186,-0.002984726569,
776.5330811,-0.002655479359,776.5330811,-0.002562539186,776.5330811,-0.003015010385,776.5330811,-0.003384877695,776.5330811,-0.003124353709,
775.9728394,-0.002474572742,775.9728394,-0.002892165445,775.9728394,-0.003531411523,775.9728394,-0.003177961335,775.9728394,-0.002935877303,
775.5526123,-0.002584515372,775.5526123,-0.00332687702,775.5526123,-0.00323814014,775.5526123,-0.003056653542,775.5526123,-0.002760746283,
774.9921875,-0.002817742294,774.9921875,-0.003391504288,774.9921875,-0.003086161101,774.9921875,-0.003411332378,774.9921875,-0.003180017229,
774.4316406,-0.002883936977,774.4316406,-0.003022208344,774.4316406,-0.002898233943,774.4316406,-0.003210955532,774.4316406,-0.003671222366,
774.0111694,-0.002830858575,774.0111694,-0.003027040977,774.0111694,-0.003295947099,774.0111694,-0.003198415972,774.0111694,-0.003458433319,
773.4503784,-0.002845414681,773.4503784,-0.003546354827,773.4503784,-0.003322766861,773.4503784,-0.003475125413,773.4503784,-0.003304681741,
773.0297241,-0.002842482878,773.0297241,-0.003502293723,773.0297241,-0.003377788467,773.0297241,-0.003702176968,773.0297241,-0.003909100313,
772.46875,-0.003511178074,772.46875,-0.003346297191,772.46875,-0.00343578239,772.46875,-0.004079614766,772.46875,-0.003554776311,
772.0479736,-0.00298786303,772.0479736,-0.002809975296,772.0479736,-0.003457149258,772.0479736,-0.003606996033,772.0479736,-0.003854966955,
771.4868164,-0.00279068551,771.4868164,-0.003461360931,771.4868164,-0.003894272028,771.4868164,-0.00419653533,771.4868164,-0.003700637026,
