is_2_5_7uM,,is_2_5_15uM1,,is_2_5_31uM,,is_2_5_62uM,,is_2_5_125uM,,is_2_5_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.953186,-0.0003308519372,799.953186,0.0006736609503,799.953186,-0.0009297082433,799.953186,0.003892913228,799.953186,0.002640119754,799.953186,0.004427951761,
799.5368652,0.0004000965564,799.5368652,0.0006257261266,799.5368652,0.0002661375038,799.5368652,0.003467955394,799.5368652,0.002274592407,799.5368652,0.004708462395,
798.9816284,0.0006932615652,798.9816284,0.0008360927459,798.9816284,0.0007828756352,798.9816284,0.003578136209,798.9816284,0.002856102539,798.9816284,0.004643779248,
798.5651855,0.0007506425027,798.5651855,0.000618234335,798.5651855,0.0001804626809,798.5651855,0.004185153171,798.5651855,0.003094431013,798.5651855,0.004616543185,
798.0097656,0.0004120152444,798.0097656,0.0004227164318,798.0097656,0.0004456484166,798.0097656,0.004117098637,798.0097656,0.002711433452,798.0097656,0.005150745623,
797.4541626,0.0007244532462,797.4541626,0.0007815530407,797.4541626,3.564644067E-5,797.4541626,0.003896099748,797.4541626,0.002820458496,797.4541626,0.004214479588,
797.0374146,0.0005310645793,797.0374146,0.0003513370175,797.0374146,-0.000113883325,797.0374146,0.003671349725,797.0374146,0.002730605425,797.0374146,0.004243677016,
796.4816895,0.0002099082631,796.4816895,0.0005191167002,796.4816895,-0.000749889994,796.4816895,0.003585992381,796.4816895,0.00260865991,796.4816895,0.004352015443,
796.0647583,7.243498112E-5,796.0647583,0.0003328139428,796.0647583,-3.080321039E-5,796.0647583,0.004096062388,796.0647583,0.001870270236,796.0647583,0.004136044998,
795.5087891,0.0003316481889,795.5087891,-0.0003123830247,795.5087891,-0.0002824793337,795.5087891,0.003672968363,795.5087891,0.002250600839,795.5087891,0.004218164831,
794.9526978,5.278469689E-5,794.9526978,-0.0002608522191,794.9526978,-0.0003081925097,794.9526978,0.003182012588,794.9526978,0.00214419025,794.9526978,0.004354917444,
794.5355225,-0.000257695996,794.5355225,0.0004206435406,794.5355225,-0.0002205442142,794.5355225,0.003846998559,794.5355225,0.002598321298,794.5355225,0.004242840689,
793.979248,-0.0001174546414,793.979248,0.0001560686505,793.979248,-0.0004366837675,793.979248,0.003293503309,793.979248,0.001918550581,793.979248,0.004096167162,
793.5618896,0.0002525651653,793.5618896,-1.097551194E-5,793.5618896,-0.000592694676,793.5618896,0.003157762345,793.5618896,0.002056557685,793.5618896,0.004094338045,
793.0053711,-0.0002970692876,793.0053711,-6.709124864E-5,793.0053711,-0.0002757533221,793.0053711,0.003330412321,793.0053711,0.002042304957,793.0053711,0.004238527268,
792.4487305,-0.0006177690811,792.4487305,-0.0005406800192,792.4487305,-0.0001490258292,792.4487305,0.003544442123,792.4487305,0.001847210922,792.4487305,0.003764766036,
