is_2_1_7uM,,mbg_3_127_5_15uM,,mbg_3_127_5_31uM1,,mbg_3_127_5_62uM3,,mbg_3_127_5_125uM2,,mbg_3_127_5_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
799.953186,-0.000884296,799.953186,-0.00059285,799.953186,0.000132608,799.953186,0.009366713,799.953186,0.009054394,799.953186,-0.000893027
799.5368652,-0.000337629,799.5368652,-0.000465439,799.5368652,-0.000255419,799.5368652,0.00947713,799.5368652,0.00891071,799.5368652,-0.000494503
798.9816284,-0.000506397,798.9816284,0.000173781,798.9816284,-0.000268044,798.9816284,0.009564765,798.9816284,0.008440115,798.9816284,-0.000400271
798.5651855,-0.00095218,798.5651855,-0.000597503,798.5651855,0.000294475,798.5651855,0.009998277,798.5651855,0.008492167,798.5651855,-0.000117558
798.0097656,-0.000874479,798.0097656,-0.000416616,798.0097656,9.866263281E-5,798.0097656,0.009632991,798.0097656,0.008991809,798.0097656,-0.000364839
797.4541626,-0.000830972,797.4541626,-0.000550349,797.4541626,-0.000206366,797.4541626,0.009699691,797.4541626,0.008666767,797.4541626,-0.000707508
797.0374146,-0.000973825,797.0374146,-0.001225471,797.0374146,-0.000205589,797.0374146,0.009271951,797.0374146,0.00799608,797.0374146,-0.000161654
796.4816895,-0.001241217,796.4816895,-0.001095819,796.4816895,-0.000485298,796.4816895,0.009565427,796.4816895,0.007970689,796.4816895,-0.000834486
796.0647583,-0.001177405,796.0647583,-0.001330518,796.0647583,-7.46E-06,796.0647583,0.009027302,796.0647583,0.007958324,796.0647583,-0.000852623
795.5087891,-0.001546983,795.5087891,-0.001460358,795.5087891,-1.19E-05,795.5087891,0.009102343,795.5087891,0.008008973,795.5087891,-0.001051663
794.9526978,-0.001332427,794.9526978,-0.001327008,794.9526978,-0.001011997,794.9526978,0.009233291,794.9526978,0.008275237,794.9526978,-0.001087505
794.5355225,-0.001200122,794.5355225,-0.001068448,794.5355225,-0.000566585,794.5355225,0.008918981,794.5355225,0.008051532,794.5355225,-0.000559191
793.979248,-0.001156855,793.979248,-0.001197438,793.979248,-0.000673755,793.979248,0.009609913,793.979248,0.008040879,793.979248,-0.001115855
793.5618896,-0.001193359,793.5618896,-0.001171674,793.5618896,-0.000614305,793.5618896,0.009016625,793.5618896,0.008185752,793.5618896,-0.001400448
793.0053711,-0.001634518,793.0053711,-0.001313433,793.0053711,-0.000801363,793.0053711,0.008563049,793.0053711,0.008246638,793.0053711,-0.001488426
792.4487305,-0.001256549,792.4487305,-0.00156999,792.4487305,-0.000720378,792.4487305,0.008724577,792.4487305,0.008178814,792.4487305,-0.001150969
792.0311279,-0.001449987,792.0311279,-0.002237195,792.0311279,-0.001025891,792.0311279,0.008517166,792.0311279,0.007508827,792.0311279,-0.001629309
791.4743042,-0.001585672,791.4743042,-0.001337021,791.4743042,-0.00020828,791.4743042,0.008600039,791.4743042,0.007384374,791.4743042,-0.001929854
791.0565796,-0.002453363,791.0565796,-0.001477179,791.0565796,-0.000849988,791.0565796,0.008249355,791.0565796,0.007596856,791.0565796,-0.001121846
790.4994507,-0.00205328,790.4994507,-0.001670518,790.4994507,-0.001152259,790.4994507,0.007928295,790.4994507,0.007465557,790.4994507,-0.001858513
789.9422607,-0.001700429,789.9422607,-0.001748026,789.9422607,-0.000985499,789.9422607,0.007709828,789.9422607,0.00736181,789.9422607,-0.001914236
789.524292,-0.002164669,789.524292,-0.00216472,789.524292,-0.001667063,789.524292,0.008094571,789.524292,0.007463318,789.524292,-0.002210514
788.9668579,-0.002276441,788.9668579,-0.002113254,788.9668579,-0.00155859,788.9668579,0.007641035,788.9668579,0.007205526,788.9668579,-0.001635756
788.5487061,-0.001990309,788.5487061,-0.00222813,788.5487061,-0.001706308,788.5487061,0.007888937,788.5487061,0.006442812,788.5487061,-0.002038801
787.9910889,-0.002441574,787.9910889,-0.002041325,787.9910889,-0.001994277,787.9910889,0.007656605,787.9910889,0.006793223,787.9910889,-0.001958046
787.4333496,-0.002330977,787.4333496,-0.002249453,787.4333496,-0.001835572,787.4333496,0.007481858,787.4333496,0.006779682,787.4333496,-0.002958966
787.0149536,-0.003075212,787.0149536,-0.002816971,787.0149536,-0.002844849,787.0149536,0.007143154,787.0149536,0.006214587,787.0149536,-0.003023031
786.4569702,-0.002845312,786.4569702,-0.002665565,786.4569702,-0.002179041,786.4569702,0.00738182,786.4569702,0.006517329,786.4569702,-0.002762084
786.0384521,-0.002291582,786.0384521,-0.00244214,786.0384521,-0.002000152,786.0384521,0.008049898,786.0384521,0.006231866,786.0384521,-0.002479669
785.4802856,-0.00324554,785.4802856,-0.0028952,785.4802856,-0.002065337,785.4802856,0.007949913,785.4802856,0.006305663,785.4802856,-0.002520694
785.0615845,-0.002709299,785.0615845,-0.002704103,785.0615845,-0.00236831,785.0615845,0.007592061,785.0615845,0.006440842,785.0615845,-0.002595786
784.5031738,-0.002594448,784.5031738,-0.002879617,784.5031738,-0.002210205,784.5031738,0.007366681,784.5031738,0.006481619,784.5031738,-0.002361358
783.9447021,-0.002592389,783.9447021,-0.002579317,783.9447021,-0.002526047,783.9447021,0.007707878,783.9447021,0.005942891,783.9447021,-0.00324333
783.5256958,-0.00237315,783.5256958,-0.00269371,783.5256958,-0.002624038,783.5256958,0.007574517,783.5256958,0.006498173,783.5256958,-0.002639476
782.96698,-0.00291469,782.96698,-0.00266716,782.96698,-0.002430042,782.96698,0.007303128,782.96698,0.006414413,782.96698,-0.002522959
782.5478516,-0.002714599,782.5478516,-0.002808329,782.5478516,-0.002263205,782.5478516,0.007503823,782.5478516,0.006188355,782.5478516,-0.00289772
781.9889526,-0.002857398,781.9889526,-0.002824275,781.9889526,-0.002422937,781.9889526,0.007078187,781.9889526,0.006226194,781.9889526,-0.002410272
781.5697021,-0.003081483,781.5697021,-0.003112634,781.5697021,-0.002449399,781.5697021,0.00674495,781.5697021,0.00632074,781.5697021,-0.003064159
