mbg_3_138_250uM,,mbg_3_138_7uM,,mbg_3_138_15uM,,mbg_3_138_31uM,,mbg_3_138_62uM,,mbg_3_138_125uM,,mbg_3_138_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.953186,0.000936657656,799.953186,-0.000297276245,799.953186,-0.0002020188695,799.953186,0.0002610866795,799.953186,0.0001351716783,799.953186,-0.0001648623293,799.953186,0.000936657656,
799.5368652,0.00116941845,799.5368652,0.0001086569973,799.5368652,-0.0002104019513,799.5368652,0.0002208634542,799.5368652,-0.0003088133235,799.5368652,0.0004426166706,799.5368652,0.00116941845,
798.9816284,0.0009105349891,798.9816284,-0.0006658976199,798.9816284,-0.0001352072431,798.9816284,-5.953364598E-5,798.9816284,0.0001167873052,798.9816284,0.0001332814136,798.9816284,0.0009105349891,
798.5651855,0.000183363125,798.5651855,-0.0008448205772,798.5651855,-0.0002614213445,798.5651855,0.0001761379535,798.5651855,-0.0004966746783,798.5651855,-0.0004645598819,798.5651855,0.000183363125,
798.0097656,0.000442176155,798.0097656,-0.0004967264249,798.0097656,-0.0004903139779,798.0097656,-0.0004428383836,798.0097656,5.265525033E-5,798.0097656,-0.0006384479348,798.0097656,0.000442176155,
797.4541626,0.0004599523963,797.4541626,-0.0006427904009,797.4541626,-0.0005874211201,797.4541626,-8.577762492E-5,797.4541626,-0.0004747996572,797.4541626,-0.0005059828982,797.4541626,0.0004599523963,
797.0374146,0.0004133885086,797.0374146,-0.0006696711644,797.0374146,-0.0004453725996,797.0374146,-0.0004483205848,797.0374146,-0.0009497523424,797.0374146,-0.0006371555501,797.0374146,0.0004133885086,
796.4816895,0.0005589269567,796.4816895,-0.0005352506996,796.4816895,-0.0006671381998,796.4816895,-0.0005737199099,796.4816895,-0.0003973748535,796.4816895,-0.0006534911809,796.4816895,0.0005589269567,
796.0647583,0.00022790808,796.0647583,-0.0008989170892,796.0647583,-0.0003820123675,796.0647583,-0.0005953831715,796.0647583,-0.0009736697539,796.0647583,-0.0003537688463,796.0647583,0.00022790808,
795.5087891,0.0002446913277,795.5087891,-0.0006210777792,795.5087891,-0.0008070988697,795.5087891,-0.000317970349,795.5087891,-0.0005889204913,795.5087891,-0.0002897743834,795.5087891,0.0002446913277,
794.9526978,0.0005836287164,794.9526978,-0.0002812893654,794.9526978,-0.0009288816946,794.9526978,-0.0007779527223,794.9526978,-0.0008539662813,794.9526978,-0.001224283944,794.9526978,0.0005836287164,
794.5355225,0.0001000090124,794.5355225,-0.001397300512,794.5355225,-0.0007753687678,794.5355225,-0.001114874263,794.5355225,-0.0009783187415,794.5355225,-0.0006560242036,794.5355225,0.0001000090124,
793.979248,0.0003748870222,793.979248,-0.001253142022,793.979248,-0.001133877086,793.979248,-0.0007958851056,793.979248,-0.0007040450582,793.979248,-0.0009056334966,793.979248,0.0003748870222,
793.5618896,-7.547692803E-5,793.5618896,-0.0009595674346,793.5618896,-0.001162173226,793.5618896,-0.0004153229238,793.5618896,-0.001133464044,793.5618896,-0.001411749865,793.5618896,-7.547692803E-5,
793.0053711,0.0005381919909,793.0053711,-0.001065762597,793.0053711,-0.0009398853872,793.0053711,-0.0009347193991,793.0053711,-0.001008226187,793.0053711,-0.0009458262939,793.0053711,0.0005381919909,
792.4487305,-1.967289063E-5,792.4487305,-0.001357613946,792.4487305,-0.001291599358,792.4487305,-0.001264653751,792.4487305,-0.0007557300851,792.4487305,-0.0007863246719,792.4487305,-1.967289063E-5,
792.0311279,-0.0006296078791,792.0311279,-0.001382747432,792.0311279,-0.001662678784,792.0311279,-0.001103152055,792.0311279,-0.001616104855,792.0311279,-0.001312194509,792.0311279,-0.0006296078791,
