mbg_3_146_7uM,,mbg_3_146_15uM,,mbg_3_146_31uM,,mbg_3_146_62uM,,mbg_3_146_125uM,,mbg_3_146_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
799.953186,-0.000788702,799.953186,-0.000237258,799.953186,0.000326597,799.953186,0.000167773,799.953186,-0.000232497,799.953186,0.000939174
799.5368652,-0.00025842,799.5368652,-0.000307468,799.5368652,-2.12E-05,799.5368652,-0.000697222,799.5368652,0.00015915,799.5368652,0.000375017
798.9816284,-0.000391271,798.9816284,-0.000105395,798.9816284,5.278469689E-5,798.9816284,-3.58E-05,798.9816284,-0.000407254,798.9816284,0.000483949
798.5651855,0.000164174,798.5651855,0.000131547,798.5651855,7.655155787E-5,798.5651855,0.000188335,798.5651855,-0.000726787,798.5651855,0.000840606
798.0097656,-0.000475886,798.0097656,-0.000149181,798.0097656,-0.000530907,798.0097656,-0.000142505,798.0097656,-2.96E-05,798.0097656,0.000727902
797.4541626,-0.000880679,797.4541626,-0.000323506,797.4541626,-0.000583182,797.4541626,-7.89E-05,797.4541626,-8.90E-05,797.4541626,0.000534719
797.0374146,-0.000654215,797.0374146,-0.000602673,797.0374146,-0.000173505,797.0374146,-0.000458716,797.0374146,-0.000337887,797.0374146,5.757420877E-5
796.4816895,-0.000228409,796.4816895,-0.000497244,796.4816895,-0.000329921,796.4816895,-1.04E-05,796.4816895,-0.000756609,796.4816895,0.000576034
796.0647583,-0.000750355,796.0647583,-0.000939007,796.0647583,-0.000787255,796.0647583,-0.000368925,796.0647583,-5.13E-05,796.0647583,0.00071683
795.5087891,-0.001085955,795.5087891,-0.000775886,795.5087891,-0.000822136,795.5087891,-0.000572531,795.5087891,-0.000888016,795.5087891,-0.00018313
794.9526978,-0.001056053,794.9526978,-0.000666466,794.9526978,-0.001151227,794.9526978,-9.64E-05,794.9526978,-0.000521134,794.9526978,0.000275281
794.5355225,-0.00142625,794.5355225,-0.001009569,794.5355225,-0.000738003,794.5355225,-0.000957191,794.5355225,-0.000899795,794.5355225,-2.23E-06
793.979248,-0.001254846,793.979248,-0.001128249,793.979248,-0.000475627,793.979248,-0.001475837,793.979248,-0.000695465,793.979248,0.00029362
793.5618896,-0.000957398,793.5618896,-0.001271674,793.5618896,-0.001146941,793.5618896,-0.001132896,793.5618896,-0.000838982,793.5618896,-0.000481212
793.0053711,-0.001181948,793.0053711,-0.00132133,793.0053711,-0.000946136,793.0053711,-0.000930173,793.0053711,-0.001325047,793.0053711,0.000100087
792.4487305,-0.001341976,792.4487305,-0.001333047,792.4487305,-0.001290928,792.4487305,-0.001051353,792.4487305,-0.001055692,792.4487305,-0.000206521
792.0311279,-0.00118231,792.0311279,-0.001848306,792.0311279,-0.001400036,792.0311279,-0.000918911,792.0311279,-0.001729514,792.0311279,0.000174791
791.4743042,-0.001652931,791.4743042,-0.001709609,791.4743042,-0.001189125,791.4743042,-0.001323447,791.4743042,-0.00141335,791.4743042,-0.000404823
791.0565796,-0.001413504,791.0565796,-0.001465931,791.0565796,-0.001026511,791.0565796,-0.001694086,791.0565796,-0.001030333,791.0565796,-0.00055583
790.4994507,-0.001807268,790.4994507,-0.001598928,790.4994507,-0.00118928,790.4994507,-0.001215869,790.4994507,-0.001531506,790.4994507,-0.000121699
789.9422607,-0.001855523,789.9422607,-0.001281172,789.9422607,-0.001520311,789.9422607,-0.001452257,789.9422607,-0.001799277,789.9422607,-0.000566481
789.524292,-0.001429708,789.524292,-0.001747819,789.524292,-0.001304452,789.524292,-0.001666341,789.524292,-0.001493225,789.524292,-0.000347613
788.9668579,-0.001970931,788.9668579,-0.001302749,788.9668579,-0.001268216,788.9668579,-0.00164504,788.9668579,-0.00152093,788.9668579,-0.000758211
